area,year,gdp_per_capita
afghanistan,1913,638.378641903136
afghanistan,1950,757.318795389142
afghanistan,1951,766.752197402054
afghanistan,1952,779.44531446281
afghanistan,1953,812.856279479195
afghanistan,1954,815.35952134691
afghanistan,1955,816.414838035311
afghanistan,1956,837.066935406928
afghanistan,1957,820.853029629645
afghanistan,1958,849.740069478856
afghanistan,1959,856.228843403318
afghanistan,1960,868.498222588053
afghanistan,1961,857.358654882083
afghanistan,1962,853.100709991072
afghanistan,1963,849.444717680397
afghanistan,1964,846.267281765072
afghanistan,1965,845.22066173728
afghanistan,1966,833.614056241455
afghanistan,1967,836.197138197653
afghanistan,1968,845.079978553216
afghanistan,1969,837.620774345246
afghanistan,1970,833.315923359967
afghanistan,1971,773.695137773372
afghanistan,1972,739.981105812534
afghanistan,1973,803.486536923231
afghanistan,1974,825.58003120264
afghanistan,1975,846.442402508526
afghanistan,1976,866.192480568929
afghanistan,1977,786.113359958181
afghanistan,1978,827.092154818656
afghanistan,1979,809.074114321196
afghanistan,1980,810.431624893938
afghanistan,1981,896.860746392093
afghanistan,1982,978.011438791904
afghanistan,1983,1013.13273629217
afghanistan,1984,994.571243991093
afghanistan,1985,961.924184798108
afghanistan,1986,1030.88806745381
afghanistan,1987,852.395944816645
afghanistan,1988,770.010794019077
afghanistan,1989,751.441273957438
afghanistan,1990,709.504941901079
afghanistan,1991,705.445798661072
afghanistan,1992,649.341395157402
afghanistan,1993,558.85324144129
afghanistan,1994,500.449447347788
afghanistan,1995,601.874209874185
afghanistan,1996,617.910635977866
afghanistan,1997,635.341351017988
afghanistan,1998,653.296853334239
afghanistan,1999,670.987220917247
afghanistan,2000,663.909877731095
afghanistan,2001,595.038741036515
afghanistan,2002,726.734054779544
afghanistan,2003,785.127571108213
afghanistan,2004,804.717457749025
afghanistan,2005,874.0
afghanistan,2006,901.875002344014
albania,1900,1048.25922763619
albania,1910,1194.12850264391
albania,1913,1240.60396618462
albania,1929,1417.52960576583
albania,1950,1532.3539321781
albania,1951,1598.49274970246
albania,1952,1601.05613632982
albania,1953,1665.79473669905
albania,1954,1714.68877618169
albania,1955,1807.13058686107
albania,1956,1825.30248740848
albania,1957,1942.28424417251
albania,1958,2029.78958534169
albania,1959,2113.34660578154
albania,1960,2220.34269647724
albania,1961,2238.78743670272
albania,1962,2312.88895774055
albania,1963,2391.77961601132
albania,1964,2473.69710013055
albania,1965,2563.94557351866
albania,1966,2660.07483654155
albania,1967,2760.19693055431
albania,1968,2859.81201277126
albania,1969,2956.93736008304
albania,1970,3066.0229334948
albania,1971,3188.57728074174
albania,1972,3313.42218810088
albania,1973,3478.45916929956
albania,1974,3491.42659688276
albania,1975,3503.59174172342
albania,1976,3517.61562701541
albania,1977,3533.00391004821
albania,1978,3549.26494664477
albania,1979,3566.56881033051
albania,1980,3591.7556033401
albania,1981,3611.02554004799
albania,1982,3630.88072218604
albania,1983,3652.07617360155
albania,1984,3672.86753872322
albania,1985,3692.08963082379
albania,1986,3715.54970572814
albania,1987,3738.93273535973
albania,1988,3762.60654447423
albania,1989,3790.98170101084
albania,1990,3824.84799474551
albania,1991,2717.56828978611
albania,1992,2497.43790090032
albania,1993,2716.64619280324
albania,1994,2918.81669780969
albania,1995,3285.53473487082
albania,1996,3569.59450622406
albania,1997,3193.05460353875
albania,1998,3584.77319666884
albania,1999,3928.27513771936
albania,2000,4195.21036763768
albania,2001,4476.0451660371
albania,2002,4604.21173734186
albania,2003,4855.21002368607
albania,2004,5115.25283737324
albania,2005,5369.0
albania,2006,5632.53208385333
algeria,1913,2070.76466813732
algeria,1950,2429.21370435628
algeria,1951,2397.53111122672
algeria,1952,2449.00818535148
